timestamp,file,entities,clauses,base,escalation,days,total
2025-06-10T21:55:04,enforcement-log.md,Entity; Invoice; May,D,0,0,0,0
2025-06-10T21:55:04,enforcement-log.md,Clause Invoked; Entity; Invoice; Invoice Issued; May; Royalty Enforcement Clause,CU-1; D,75000,0,0,75000
2025-06-10T21:55:04,enforcement-log.md,Clause Invoked; Entity; Gamerdudee; Invoice Issued; May; Pending; Public Link; Royalty Enforcement Clause; Status,CU-1; D,75000,0,0,75000
2025-06-10T21:55:04,enforcement-log.md,Default Enforcement; Entity; June,D,0,0,0,0
2025-06-10T21:55:04,enforcement-log.md,Amount; Clause Violated; Default Enforcement; Entity; June; Royalty Enforcement Clause,CU-1; D,75000,0,0,75000
2025-06-10T21:55:04,enforcement-log.md,Amount; Clause Violated; Default Triggered; Entity; June; Royalty Enforcement Clause; Status; Trigger Date,CU-1; D,75000,0,0,75000
2025-06-10T21:55:04,enforcement-log.md,Amount; Clause; Clause Violated; Default; Default Triggered; June; Notes; Royalty Enforcement Clause; Status; Trigger Date,CU-1; D,75000,0,0,75000
2025-06-10T21:55:04,enforcement-log.md,Clause; Clause Violated; Default; Default Triggered; Invoice Email Drafted; June; Notes; Royalty Enforcement Clause; See; Status; Trigger Date,CU-1; D,75000,0,0,75000
2025-06-10T21:55:04,enforcement-log.md,Clause; Default; Default Triggered; Gamerdudee; Invoice Email Drafted; June; Notes; Public Link; See; Status; Trigger Date,CU-1; D,75000,0,0,75000
2025-06-10T21:55:04,enforcement-log.md,Clause; Default; Gamerdudee; Invoice Email Drafted; June; Notes; Public Link; See; Trigger Date,CU-1; D,75000,0,0,75000
2025-06-10T21:55:04,enforcement-log.md,Entity; May; New Mexico Department; Procedural Default; Unreviewed Submissions; Workforce Solutions,D,0,0,0,0
2025-06-10T21:55:04,enforcement-log.md,Description; Entity; May; Monday; New Mexico Department; Procedural Default; Rejection; Sunday; Trigger; Unreviewed Submissions; Workforce Solutions,D,0,0,0,0
2025-06-10T21:55:04,enforcement-log.md,Clauses Violated; Continued Royalty Default; Declaratory Misconduct Logged; Description; Entity; Monday; New Mexico Department; Procedural Default; Rejection; Status; Structural Interference; Sunday; Trigger; Workforce Solutions,CU-1; CU-2; D,115000,0,0,115000
2025-06-10T21:55:04,enforcement-log.md,Auto; Clauses Violated; Continued Royalty Default; Declaratory Misconduct Logged; Description; Escalation; Monday; Procedural Default; Rejection; Status; Structural Interference; Sunday; Trigger,CU-1; CU-2; D,115000,0,0,115000
2025-06-10T21:55:04,enforcement-log.md,Auto; Clauses Violated; Continued Royalty Default; Declaratory Misconduct Logged; Description; Escalation; Gamerdudee; Procedural Default; Public Link; Status; Structural Interference,CU-1; CU-2; D,115000,0,0,115000
2025-06-10T21:55:04,enforcement-log.md,Amplification; Escalation Addendum; Ignored Filing; Public Filing Ignored; Structural Penalty,CU-2,40000,0,0,40000
2025-06-10T21:55:04,enforcement-log.md,Amplification; Clause; Escalation Addendum; Fee; Ignored Filing; Procedural Breach Response; Public Filing Ignored; Public Mirror Interference; Structural Penalty,CU-2; CU-2.1,50000,0,0,50000
2025-06-10T21:55:04,enforcement-log.md,Clause; Fee; Ignored Filing; Procedural Breach Response; Public Mirror Interference; Structural Penalty; Updated Total Claimed,CU-2; CU-2.1; D,50000,0,0,50000
2025-06-10T21:55:04,enforcement-log.md,Clause; Fee; Procedural Breach Response; Public Mirror Interference; Updated Total Claimed,CU-2.1; D,10000,0,0,10000
2025-06-10T21:55:04,enforcement-log.md,Clause Invoked; Entity; Licensing Activation Upon; Licensing Clause Activated; May; Platform Usage; Procedural Default; Time; Trigger; Unauthorized,CU-1.4; D,150000,0,0,150000
2025-06-10T21:55:04,enforcement-log.md,Clause Invoked; Description; Entity; Fees Applied; Licensing Activation Upon; Over; Procedural Default; Trigger; Unauthorized,CU-1.4; D,150000,0,0,150000
2025-06-10T21:55:04,enforcement-log.md,Clause Invoked; Description; Enforcement Usage Fee; Fees Applied; Licensing Activation Upon; Over; Procedural Default; Structure; Trigger; Unauthorized,CU-1.4; D,150000,0,0,150000
2025-06-10T21:55:04,enforcement-log.md,Based Compensation; Enforcement Usage Fee; Est; Fee; Structure; Time; Total Licensing Addendum; Unauthorized Derivative Suppression; Updated Claim Total,D,0,0,0,0
2025-06-10T21:55:04,enforcement-log.md,Fee; Total Licensing Addendum; Unauthorized Derivative Suppression; Updated Claim Total,D,0,0,0,0
2025-06-10T21:55:04,enforcement-log.md,Auto,CU-1; CU-2; D,115000,0,0,115000
2025-06-10T21:55:04,hem_engine.py,Calculates; Extracts; Prints,D,0,0,0,0
2025-06-10T21:55:04,hem_engine.py,(un-specified),D,0,0,0,0
2025-06-10T21:55:04,hem_engine.py,(un-specified),D,0,0,0,0
2025-06-10T21:55:04,hem_engine.py,(un-specified),AF; BE; BP; D,75000,0,0,75000
